x1,y1,x2,y2
2100.721,656.401,2052.668,2326.862
2098.146,656.713,2049.858,2325.243
2100.373,662.426,2052.444,2319.807
2099.5,652.529,2051.146,2328.206
2098.117,660.445,2050.023,2321.425
2098.733,654.82,2050.111,2326.254
2098.503,655.178,2050.076,2326.617
2096.47,657.15,2047.991,2323.906
2101.082,655.069,2052.579,2328.625
2101.316,659.864,2052.847,2323.531
2100.992,655.089,2052.517,2327.547
2102.06,660.987,2053.945,2321.502
2100.249,655.053,2052.252,2327.798
2097.074,658.048,2048.785,2323.182
2096.94,658.945,2048.594,2321.192
2099.646,658.23,2051.622,2322.085
2096.372,658.336,2048.168,2320.951
2096.605,655.75,2048.413,2325.135
2100.998,657.868,2052.873,2324.792
2099.316,658.722,2050.968,2323.302
2097.095,657.063,2048.91,2322.513
2100.146,657.411,2052.35,2322.969
2097.629,658.308,2049.609,2323.941
2098.813,657.363,2050.382,2325.388
2101.426,656.051,2053.118,2326.41
2098.056,658.955,2050.052,2322.805
2101.179,659.799,2052.834,2323.334
2100.677,654.486,2052.484,2328.26
2101.442,656.374,2053.436,2327.432
2099.79,659.511,2051.383,2321.786
2097.383,655.932,2049.209,2324.706
2098.637,660.389,2050.779,2321.915
2100.969,654.487,2052.728,2328.866
2099.66,655.785,2051.386,2326.745
2097.256,663.352,2049.329,2317.375
2097.38,658.163,2048.908,2322.625
2097.423,657.592,2049.154,2322.709
2098.037,653.046,2049.34,2327.774
2099.332,656.356,2051.226,2324.272
2097.387,657.924,2049.294,2324.129
2100.933,655.033,2052.588,2327.953
2101.317,655.561,2053.317,2327.561
2099.059,656.511,2050.746,2326.341
2096.916,657.014,2048.617,2325.704
2098.73,654.516,2049.981,2327.284
2098.673,652.764,2050.15,2328.998
2098.95,657.674,2050.787,2325.22
2098.678,656.807,2050.516,2325.144
2097.679,652.058,2048.912,2330.295
2098.223,662.934,2050.051,2319.374
2096.979,660.156,2048.647,2321.304
2099.524,656.33,2050.839,2326.318
2099.569,653.78,2051.24,2329.921
2100.044,657.79,2052.094,2324.925
2100.296,657.449,2051.886,2322.471
2100.488,657.813,2052.198,2323.245
2100.062,657.342,2051.611,2325.588
2097.57,658.001,2049.278,2323.94
2100.252,652.816,2051.649,2330.698
2099.834,658.699,2051.609,2323.541
2099.585,654.727,2051.359,2326.425
2099.406,656.475,2051.23,2324.528
2098.855,658.475,2050.882,2322.799
2097.035,656.602,2048.714,2326.493
2096.729,657.01,2048.718,2324.842
2096.395,656.426,2048.007,2323.258
2096.451,657.377,2048.243,2322.767
2097.095,656.42,2048.533,2324.968
2097.713,657.403,2049.375,2326.05
2096.911,656.549,2048.404,2326.929
2097.986,658.569,2049.688,2323.98
2098.453,655.949,2050.003,2326.391
2098.348,658.255,2050.042,2322.435
2098.07,656.847,2049.531,2323.172
2098.495,656.329,2050.506,2324.377
2098.056,658.038,2049.775,2325.778
2101.047,653.474,2052.683,2330.433
2100.721,656.151,2052.417,2326.99
2100.828,656.431,2052.796,2324.804
2100.745,657.069,2052.576,2324.011
2099.909,659.939,2052.041,2323.581
2096.801,659.333,2048.676,2324.215
2098.112,659.276,2050.274,2324.453
2097.486,657.711,2049.285,2324.078
2097.544,655.92,2049.08,2325.558
2097.727,657.7,2049.528,2324.208
2098.228,656.252,2050.296,2325.279
2096.553,658.536,2048.464,2323.22
2096.621,655.554,2048.549,2324.876
2096.972,657.47,2048.572,2323.32
2096.993,655.985,2048.688,2323.629
2097.254,658.811,2049.119,2325.19
2097.311,656.488,2049.384,2326.984
2099.567,653.894,2050.957,2329.402
2100.253,654.919,2051.705,2327.41
2100.394,656.99,2052.03,2324.375
2100.023,655.997,2051.539,2324.753
2099.818,660.625,2051.355,2322.426
2097.642,656.258,2049.503,2326.377
2100.302,657.524,2052.188,2325.725
2100.83,660.255,2052.888,2322.593
2100.472,654.246,2052.398,2325.915
2100.458,655.302,2052.067,2325.278
2099.837,658.459,2051.82,2323.247
2097.208,658.162,2049.251,2324.713
2097.736,656.341,2049.97,2324.897
2097.503,657.355,2049.226,2323.833
2097.503,656.367,2049.03,2325.272
2098.271,656.831,2049.798,2325.489
2098.163,657.234,2049.806,2325.431
2100.849,654.731,2052.469,2326.241
2100.01,656.839,2051.859,2324.089
2098.068,657.25,2049.715,2324.434
2096.584,657.204,2048.751,2324.068
2097.02,654.807,2048.882,2324.822
2098.718,658.786,2050.398,2322.208
2100.598,656.506,2052.43,2325.307
2100.817,654.301,2052.552,2326.19
2098.959,657.536,2050.627,2324.638
2096.662,656.692,2048.413,2323.686
2096.942,654.67,2048.424,2325.047
2098.518,659.817,2050.518,2322.45
2099.897,656.911,2051.78,2325.979
2100.859,657.464,2053.052,2325.907
2099.6,665.211,2051.873,2317.066
2097.738,654.703,2049.64,2327.877
2096.503,654.357,2048.098,2327.35
2097.108,657.304,2048.931,2325.197
2099.497,653.229,2050.738,2330.012
2100.587,654.214,2052.384,2329.933
2100.679,654.763,2052.389,2329.029
2097.332,655.769,2049.282,2327.785
2098.153,655.713,2049.796,2327.698
2097.703,655.816,2049.471,2327.428
2097.42,658.273,2049.344,2324.744
2097.706,658.417,2049.669,2324.436
2098.506,657.957,2050.289,2324.188
2097.385,656.589,2049.151,2327.348
2097.827,657.045,2049.367,2326.319
2099.55,657.646,2051.363,2325.378
2099.996,656.267,2051.736,2324.364
2098.88,660.702,2050.787,2322.739
2097.997,658.023,2050.099,2324.647
2097.857,658.373,2049.167,2324.967
2097.465,658.264,2049.257,2324.045
2099.32,655.052,2050.922,2325.458
2100.89,657.513,2052.721,2323.468
2099.827,655.101,2051.455,2325.723
2097.798,656.316,2049.685,2325.051
2096.845,656.873,2048.543,2324.067
2097.399,657.947,2049.033,2322.61
2099,655.992,2050.886,2324.988
2100.531,656.269,2052.817,2325.014
2100.425,655.593,2052.232,2324.608
2098.252,657.019,2050.198,2324.187
2096.926,652.859,2048.323,2327.124
2096.991,660.293,2048.789,2319.668
2099.068,658.943,2050.521,2323.9
2100.318,657.565,2052.185,2325.76
2101.035,658.178,2053.094,2325.303
2099.518,663.594,2051.678,2319.949
2097.27,656.458,2049.463,2324.858
2096.452,663.654,2048.629,2317.779
2097.047,658.93,2048.676,2323.371
2099.512,654.427,2050.976,2328.983
2100.736,652.83,2052.509,2331.702
2100.354,652.458,2051.795,2331.618
2097.496,656.568,2049.311,2327.239
2098.603,654.946,2050.349,2328.358
2100.733,659.021,2052.781,2321.862
2098.813,657.672,2050.637,2322.409
2097.205,656.495,2048.904,2323.848
2097.047,656.61,2048.741,2328.269
2098.911,656.085,2050.439,2326.204
2099.87,659.494,2051.85,2324.181
2099.828,657.492,2051.513,2324.521
2097.819,658.045,2049.309,2324.584
2098.117,656.42,2049.674,2327.183
2098.11,654.944,2049.778,2328.172
2097.177,658.465,2049.152,2325.443
2097.446,659.432,2049.716,2324.488
2098.217,659.133,2050.044,2324.821
2097.13,654.549,2048.868,2327.66
2096.901,656.677,2048.539,2323.678
2096.779,655.964,2048.443,2324.163
2098.394,656.451,2050.325,2326.009
2100.076,658.389,2052.103,2324.233
2100.819,654.861,2052.618,2328.656
2099.935,657.111,2051.708,2326.529
2098.321,657.453,2050.138,2325.309
2096.999,657.844,2048.733,2324.48
2097.387,657.169,2049.295,2325.49
2099.399,652.78,2051.054,2330.848
2100.76,657.52,2052.857,2326.83
2100.403,652.419,2052.498,2331.519
2097,655.362,2048.672,2325.472
2100.055,656.055,2051.76,2325.394
2098.021,657.64,2050.051,2323.472
2097.772,657.655,2049.573,2324.078
2100.379,657.957,2051.895,2322.732
2097.127,657.417,2049.04,2323.693
2100.135,657.217,2051.887,2326.138
2097.589,658.075,2049.441,2326.232
2097.172,657.894,2049.174,2324.997
2098.366,655.526,2050.187,2327.756
2099.58,655.051,2051.328,2327.232
2097.664,659.716,2049.763,2322.929
2096.762,656.588,2048.576,2323.895
2096.705,655.034,2048.303,2325.315
2098.433,657.343,2050.197,2324.137
2100.182,654.361,2052.152,2327.35
2100.959,655.957,2052.876,2324.897
2100.093,655.884,2051.949,2326.378
2098.385,657.14,2050.329,2324.429
2097.175,655.843,2049.025,2323.939
2096.851,656.655,2048.413,2324.711
2097.129,656.925,2048.81,2325.528
2098.952,655.547,2050.608,2325.969
2100.175,657.167,2052.433,2323.922
2100.379,656.512,2052.819,2324.636
2099.596,658.037,2051.677,2322.453
2098.071,656.494,2049.914,2323.73
2096.944,655.083,2048.611,2326.604
2097.246,657.537,2049.381,2325.783
2098.39,656.868,2050.152,2325.118
2099.135,659.424,2050.963,2322.655
2100.188,659.267,2052.244,2324.242
2100.379,657.919,2052.285,2324.818
2099.167,658.183,2050.596,2325.482
2098.051,654.183,2049.929,2328.485
2097.12,662.227,2049.439,2321.534
2098.307,657.07,2049.991,2326.108
2096.403,655.407,2048.285,2327.591
2097.322,660.035,2049.484,2323.187
2097.398,656.793,2048.977,2326.581
2097.88,658.243,2050.108,2324.79
2098.659,656.136,2050.563,2327.345
2097.672,657.419,2049.75,2325.952
2096.984,657.048,2048.676,2326.793
2100.901,656.266,2053.041,2325.445
2100.365,656.931,2052.071,2324.401
2098.378,656.873,2050.396,2322.966
2097.08,659.111,2049.135,2321.056
2097.096,658.198,2049.137,2323.73
2098.063,657.512,2049.972,2325.441
2099.014,658.816,2050.729,2325.357
2099.684,657.079,2051.486,2326.224
2100.071,657.494,2052.21,2325.481
2099.509,663.084,2051.326,2320.794
2098.372,655.122,2050.402,2325.303
2097.401,659.635,2049.312,2325.044
2097.894,659.498,2049.717,2324.582
2098.669,655.451,2050.422,2326.93
2097.306,658.157,2048.875,2326.214
2097.087,661.185,2049.302,2322.614
2097.868,658.54,2049.859,2325.039
2098.456,657.459,2050.071,2326.616
2098.277,656.801,2049.977,2326.583
2097.299,657.121,2048.74,2326.609
2096.586,659.553,2048.304,2320.689
2096.471,655.573,2048.28,2324.512
2096.48,656.105,2048.241,2323.804
2096.641,657.695,2048.547,2322.106
2096.984,656.114,2048.292,2324.086
2096.577,654.601,2048.003,2325.137
2096.465,656.121,2048.11,2323.769
2096.36,653.015,2047.927,2326.347
2096.345,656.936,2047.883,2323.233
2096.779,656.202,2048.442,2324.479
2096.778,655.754,2048.312,2324.097
2096.85,657.418,2048.651,2322.439
2096.544,656.095,2048.105,2324.203
2096.655,656.757,2048.427,2322.759
2096.133,655.811,2048.2,2324.131
2096.549,656.49,2048.129,2322.789
2096.471,657.374,2048.228,2322.323
2096.494,657.687,2048.268,2322.097
2096.644,655.686,2048.175,2324.55
2096.644,656.309,2048.304,2324.897
2096.711,656.103,2048.392,2324.085
2096.563,656.933,2048.341,2323.264
2096.509,655.061,2048.056,2324.651
2096.615,657.838,2048.377,2322.681
2096.493,656.792,2048.185,2323.781
2096.736,654.856,2048.408,2324.971
2096.728,655.033,2048.378,2325.489
2096.699,656.573,2048.598,2324.646
2096.479,658.2,2048.164,2322.185
2096.732,656.76,2048.279,2323.715
2096.649,656.294,2048.382,2324.717
2096.927,655.223,2048.395,2325.865
2096.774,656.266,2048.281,2324.646
2096.77,657.165,2048.796,2323.663
2096.671,658.358,2048.556,2322.049
2097.084,656.028,2048.713,2324.851
2097.088,657.157,2048.864,2323.2
2098.033,656.435,2050.007,2327.464
2097.725,656.246,2049.57,2327.323
2097.92,656.312,2049.543,2327.472
2097.87,656.247,2049.564,2327.523
2097.749,656.189,2049.451,2327.56
2097.918,656.113,2049.485,2327.58
2097.899,656.034,2049.644,2327.688
2097.747,655.982,2049.67,2327.782
2097.682,655.935,2049.632,2327.819
2097.919,655.905,2049.587,2327.871
2097.738,655.86,2049.671,2327.95
2098.012,655.831,2049.696,2327.977
2097.614,655.543,2049.421,2328.311
2098.142,656.167,2049.979,2326.844
2097.895,656.434,2049.728,2325.292
2098.861,657.029,2050.558,2325.486
2097.17,657.302,2048.966,2325.75
2098.711,655.744,2050.182,2326.22
2098.644,656.83,2049.941,2324.11
2098.373,660.565,2049.858,2322.505
2101.409,655.178,2053.011,2328.54
2099.664,657.337,2051.575,2325.379
2099.708,658.941,2051.709,2323.544
2099.47,655.776,2050.963,2326.604
2099.674,660.27,2051.444,2322.847
2099.336,656.676,2051.09,2324.825
2099.46,657.988,2051.278,2324.19
2099.397,657.497,2051.172,2325.121
2099.629,656.27,2051.337,2326.208
2099.364,654.367,2051.133,2328.103
2099.508,654.718,2050.955,2328.531
2099.412,659.061,2051.328,2323.389
2099.056,655.302,2050.631,2326.691
2099.246,659.872,2051.151,2322.262
2099.37,658.904,2051.373,2323.529
2099.46,658.819,2051.386,2323.701
2099.279,658.784,2051.156,2323.665
2099.163,654.252,2050.8,2328.169
2098.895,655.531,2050.725,2326.926
2098.641,656.398,2050.682,2325.138
2098.886,658.527,2050.914,2323.804
2099.053,654.781,2050.729,2327.435
2099.026,656.198,2050.994,2325.807
2099.254,656.267,2050.758,2326.539
2098.601,655.426,2050.384,2327.418
2099.012,656.568,2050.665,2326.309
2098.486,658.152,2050.462,2323.741
2098.896,657.682,2050.871,2323.274
2098.684,660.523,2050.61,2321.155
2099.034,656.345,2050.559,2326.372
2098.87,656.28,2050.706,2325.992
2098.655,657.631,2050.556,2324.507
2098.38,658.828,2050.444,2323.751
2098.485,655.261,2050.206,2326.737
2098.545,663.157,2050.433,2318.641
2098.54,658.25,2050.413,2323.497
2098.527,656.47,2050.085,2325.826
2098.604,654.909,2050.33,2327.711
2098.287,659.25,2050.542,2322.543
2098.404,659.133,2050.417,2323.267
2098.229,663.484,2050.281,2318.632
2098.508,657.493,2050.049,2324.531
2098.549,657.097,2050.047,2325.007
2098.266,658.491,2050.003,2323.897
2098.131,657.144,2050.075,2324.158
2098.254,657.396,2050.282,2324.437
2098.281,658.575,2050.198,2323.638
2097.751,657.484,2049.038,2325.819
2098.269,657.64,2049.808,2324.068
2098.176,655.98,2049.323,2326.494
2097.878,655.279,2049.604,2327.94
2097.922,657.673,2049.664,2323.939
2097.479,660.339,2049.774,2321.359
2098.059,656.998,2049.684,2325.654
2097.689,659.28,2049.341,2323.308
2097.55,658.183,2049.317,2324.704
2097.67,656.212,2049.214,2326.18
2097.793,658.531,2049.544,2323.418
2097.438,657.286,2049.394,2324.412
2097.223,655.97,2049.273,2326.609
2097.505,655.909,2049.578,2325.513
2097.431,656.764,2049.042,2325.469
2097.342,658,2049.115,2323.975
2097.311,654.687,2049.113,2327.095
2097.233,658.638,2049.044,2322.481
2097.118,658.141,2049.112,2322.167
2097.064,656.391,2048.966,2324.465
2097.188,656.68,2049.218,2324.027
2096.871,659.303,2048.933,2321.405
2097.36,655.357,2048.862,2326.155
2096.823,657.355,2048.607,2323.853
2097.22,655.782,2048.896,2324.79
2097.046,656.065,2048.67,2324.56
2096.991,657.686,2048.982,2322.169
2096.955,659.458,2049.078,2321.921
2097.003,656.753,2048.884,2324.201
2096.812,657.348,2048.82,2323.727
2097.028,655.253,2048.607,2324.322
2097.127,655.611,2048.791,2325.495
2096.999,659.726,2048.883,2320.86
2097.284,657.128,2048.915,2324.185
2096.686,657.646,2048.691,2322.645
2096.766,656.577,2048.788,2323.746
2096.548,654.436,2048.257,2325.886
2097.12,657.053,2048.7,2323.692
2096.86,661.044,2048.745,2320.128
2097.004,655.588,2048.606,2324.774
2096.945,656.229,2048.403,2324.288
2096.531,655.552,2048.472,2324.811
2096.879,654.836,2048.665,2325.207
2096.795,654.57,2048.605,2325.719
2096.579,657.333,2048.329,2322.974
2096.857,654.684,2048.225,2326.458
2096.815,655.124,2048.467,2325.524
2096.781,654.811,2048.383,2325.505
2096.51,654.909,2048.059,2325.574
2096.803,658.453,2048.64,2321.822
2096.691,659.844,2048.335,2320.581
2096.753,656.288,2048.271,2324.304
2096.503,655.447,2048.384,2325.186
2096.836,654.159,2048.587,2326.068
2096.57,655.535,2048.332,2325.108
2096.836,658.123,2048.341,2322.799
2096.482,654.218,2047.763,2326.309
2096.693,656.853,2048.368,2322.544
2096.813,655.762,2048.775,2323.851
2096.527,655.509,2048.177,2324.461
2096.245,656.688,2047.895,2323.865
2096.477,656.396,2047.837,2323.326
2096.7,656.166,2048.488,2323.121
2097.029,655.711,2048.785,2324.389
2096.601,656.44,2048.66,2323.925
2096.793,654.841,2048.39,2325.767
2096.503,657.322,2048.394,2322.48
2096.946,655.511,2048.719,2323.975
2096.819,654.85,2048.561,2326.695
2096.732,658.313,2048.796,2322.672
2096.52,658.141,2048.306,2322.967
2097.032,657.135,2048.671,2322.681
2096.854,657.027,2048.742,2323.56
2096.928,654.533,2048.509,2325.799
2096.679,659.721,2048.502,2321.041
2097.032,656.298,2048.735,2323.981
2096.978,655.188,2048.557,2325.953
2096.93,655.992,2048.521,2325.085
2096.714,656.796,2048.578,2323.932
2097.082,655.642,2048.685,2325.489
2097.117,656.755,2048.958,2324.234
2097.514,654.278,2049.322,2326.575
2097.357,654.921,2049.092,2326.762
2097.151,657.555,2049.064,2323.711
2097.764,657.129,2049.467,2324.668
2097.773,656.541,2049.451,2325.136
2097.904,654.93,2049.672,2326.278
2097.953,656.831,2049.958,2325.242
2097.471,657.365,2049.257,2324.262
2097.525,656.091,2049.299,2325.88
2097.783,656.623,2049.657,2325.719
2098.373,654.256,2049.806,2327.322
2098.202,654.605,2049.984,2327.161
2097.704,656.042,2049.814,2325.834
2098.163,655.328,2049.984,2327.017
2097.958,656.525,2050,2325.512
2097.873,656.917,2049.839,2325.034
2098.051,656.221,2049.869,2325.789
2098.273,657.882,2050.246,2323.375
2098.477,657.045,2049.816,2325.489
2098.216,657.56,2050.158,2324.504
2098.477,658.449,2050.11,2323.781
2098.572,657.038,2050.289,2324.62
2098.696,656.189,2050.635,2326.072
2098.636,654.954,2049.971,2327.009
2098.774,654.888,2050.584,2326.795
2098.85,656.519,2050.496,2325.732
2099.008,656.7,2050.68,2325.337
2099.123,657.344,2050.765,2324.796
2098.969,657.276,2050.843,2324.928
2099.216,654.684,2050.667,2327.378
2099.068,657.531,2050.902,2324.88
2099.104,657.98,2051.299,2324.287
2099.501,656.65,2051.243,2325.807
2099.959,653.614,2051.503,2327.935
2099.677,655.493,2051.155,2327.167
2099.794,655.245,2051.447,2327.205
2099.285,658.201,2051.735,2324.672
2100.046,656.569,2051.81,2324.999
2099.614,659.146,2051.461,2323.711
2099.596,655.762,2051.63,2326.325
2099.849,658.561,2051.506,2323.847
2100.17,658.993,2051.885,2323.149
2100.129,654.745,2051.825,2327.454
2100.515,655.354,2052.003,2325.953
2100.294,659.358,2052.118,2322.937
2100.169,655.562,2051.766,2326.7
2100.557,655.681,2052.198,2326.06
2100.253,656.003,2052.052,2325.773
2100.191,655.606,2052.063,2325.759
2100.115,657.371,2052.083,2323.685
2100.565,656.565,2052.46,2324.692
2100.172,656.007,2051.972,2326.31
2100.51,655.723,2052.033,2325.862
2100.394,656.311,2052.267,2325.35
2100.613,655.758,2052.344,2325.157
2100.302,656.863,2052.443,2324.422
2100.855,655.671,2052.565,2324.989
2100.593,656.614,2052.461,2323.943
2100.476,656.333,2052.533,2324.772
2100.649,654.02,2052.345,2327.031
2101.026,657.803,2052.464,2323.604
2100.279,656.844,2052.504,2324.553
2100.499,656.971,2052.455,2324.077
2100.854,656.55,2052.88,2324.539
2100.98,655.482,2052.806,2325.269
2100.858,654.98,2052.669,2325.905
2100.98,656.426,2052.791,2325.484
2101.321,655.726,2052.899,2325.132
2101.058,654.575,2052.527,2325.966
2101.308,653.712,2052.847,2327.576
2101.033,658.532,2052.759,2323.153
2097.117,657.899,2048.857,2325.303
2097.596,658.335,2049.434,2324.916
2097.593,658.217,2049.5,2325.052
2098.534,658.357,2050.959,2325.339
2099.237,651.539,2050.89,2332.135
2098.785,656.832,2050.61,2326.393
2098.73,657.22,2050.501,2325.975
2098.61,658.886,2050.474,2323.836
2098.799,657.31,2050.439,2326.127
2098.737,656.255,2050.442,2327.37
2098.725,654.134,2050.35,2329.578
2098.531,658.03,2050.511,2325.583
2098.797,657.29,2050.53,2325.617
2098.601,654.865,2050.373,2327.905
2098.258,659.272,2050.281,2323.571
2098.065,656.567,2050.017,2326.827
2098.251,656.493,2050.316,2327.077
2098.103,655.617,2050.001,2328.161
2098.198,658.848,2050.241,2324.594
2098.348,659.364,2050.348,2323.199
2098.389,655.596,2050.071,2327.665
2098.163,659.69,2049.985,2323.363
2096.718,655.23,2048.291,2324.558
2096.792,656.686,2048.391,2323.538
2096.999,655.015,2048.675,2324.803
2097.007,656.64,2048.9,2323.939
2096.941,656.338,2048.822,2324.823
2097.017,657.192,2048.692,2323.028
2096.939,658.009,2048.348,2322.375
2096.851,654.601,2048.231,2325.296
2096.938,654.903,2048.36,2325.565
2096.982,656.733,2048.671,2323.422
2096.865,656.061,2048.708,2324.318
2097.158,657.743,2049.046,2322.901
2097.01,657.651,2048.735,2323.258
2096.832,655.543,2048.73,2324.749
2096.845,654.876,2048.483,2325.729
2097.333,655.383,2048.864,2325.278
2097.097,658.473,2048.981,2322.787
2097.401,656.409,2048.969,2324.881
2097.148,655.596,2048.739,2325.936
2097.107,656.779,2048.963,2324.581
2097.112,654.993,2048.736,2326.31
2096.852,654.751,2048.932,2325.935
2097.538,656.104,2049.594,2324.901
2097.771,657.488,2049.5,2324.283
2097.653,657.995,2049.433,2323.923
2097.463,655.074,2049.226,2327.266
2097.483,656.316,2049.448,2324.923
2097.578,656.966,2049.356,2324.585
2097.778,655.166,2049.464,2326.419
2097.867,654.833,2049.496,2327.08
2097.833,656.977,2049.404,2325.556
2097.851,656.586,2049.645,2326.329
2097.681,655.363,2049.502,2326.985
2097.939,657.686,2049.98,2323.853
2097.923,654.738,2049.635,2328.257
2098.164,654.87,2050.146,2326.647
2097.967,656.451,2049.716,2326.127
2098,655.823,2049.632,2326.457
2098.227,657.448,2049.987,2324.293
2098.308,657.004,2050.092,2325.355
2098.55,656.746,2050.305,2325.058
2098.633,658.651,2050.398,2323.424
2098.483,655.725,2050.064,2326.246
2097.939,655.956,2049.868,2326.072
2098.618,655.135,2050.127,2326.749
2098.832,659.714,2050.797,2322.292
2098.98,659.532,2051.035,2322.146
2098.362,656.994,2050.288,2325.124
2098.492,657.182,2050.463,2324.783
2098.314,654.812,2050.148,2326.634
2098.973,658.8,2051.011,2322.633
2101.346,656.561,2052.858,2326.654
2099.226,654.315,2051.133,2328.643
2099.738,652.78,2051.136,2329.403
2099.013,656.95,2051.364,2325.157
2098.867,657.785,2051.688,2323.798
2099.384,657.585,2051.793,2324.02
2099.121,655.595,2050.54,2326.446
2098.973,655.67,2051.035,2326.565
2099.659,656.312,2051.559,2325.76
2099.235,657.453,2050.852,2324.395
2099.178,658.193,2051.284,2323.314
2099.536,656.193,2051.316,2326.241
2099.493,655.101,2051.369,2326.802
2099.667,657.729,2051.366,2325.272
2099.532,655.837,2051.588,2326.693
2099.944,656.148,2051.709,2325.975
2100.016,657.247,2052.089,2324.807
2099.781,657.055,2051.596,2325.281
2099.813,656.468,2051.678,2325.941
2099.957,656.567,2051.77,2325.727
2100.168,655.002,2051.803,2326.737
2100.166,655.821,2051.817,2325.924
2100.146,655.568,2051.981,2326.409
2099.946,659.611,2052.002,2322.355
2100.393,656.069,2052.255,2325.513
2100.566,655.852,2052.432,2325.691
2100.482,657.606,2052.162,2324.445
2100.82,658.763,2052.833,2322.404
2100.332,655.751,2052.121,2325.247
2100.346,655.789,2052.406,2326.284
2100.888,657.247,2052.821,2324.134
2100.715,659.951,2052.748,2321.565
2100.63,657.143,2052.157,2324.049
2100.662,654.427,2052.283,2326.511
2100.938,655.266,2052.841,2325.503
2100.829,658.351,2052.535,2322.177
2101.188,654.276,2052.808,2325.907
2100.506,656.377,2052.46,2325.756
2100.901,656.838,2052.76,2323.996
2100.882,657.673,2052.142,2323.74
2100.935,655.369,2052.955,2325.572
2100.707,656.509,2052.956,2324.595
2100.517,656.455,2052.924,2324.134
2100.457,656.409,2052.701,2324.985
2100.913,656.259,2052.846,2325.232
2100.917,656.3,2052.871,2324.57
2100.722,655.927,2052.59,2324.192
2100.638,656.735,2052.437,2324.648
2101.109,657.963,2052.626,2323.02
2100.335,656.645,2052.459,2324.584
2101.148,656.909,2052.972,2324.199
2101.056,655.911,2052.802,2325.641
2101,656.271,2052.78,2325.024
2100.57,655.491,2052.632,2325.145
2101.232,656.162,2053.157,2323.82
2101.287,657.69,2053.024,2323.916
2100.625,656.715,2052.694,2324.35
2100.481,656.63,2052.452,2324.081
2101.104,658.25,2052.536,2322.591
2100.453,656.269,2052.779,2325.131
2100.814,656.011,2052.663,2325.146
2100.894,656.115,2052.884,2324.405
2100.619,656.482,2052.675,2324.976
2100.692,656.408,2052.671,2325.033
2100.774,657.634,2052.659,2323.292
2100.738,656.727,2052.773,2324.201
2100.12,656.628,2052.284,2325.019
2100.451,658.191,2052.656,2322.637
2100.16,657.037,2052.24,2323.827
2100.947,655.091,2052.597,2325.65
2099.987,656.199,2052.017,2325.417
2100.318,657.165,2052.329,2324.152
2100.434,656.635,2052.283,2324.4
2100.555,656.339,2052.187,2324.935
2100.13,655.148,2051.743,2326.553
2100.195,656.918,2052.167,2324.253
2100.099,659.287,2052.281,2321.623
2100.481,657.083,2052.393,2324.062
2099.927,656.702,2052.169,2325.814
2099.776,656.927,2051.958,2324.903
2100.154,657.726,2051.999,2323.181
2100.102,655.87,2051.866,2325.215
2099.833,656.512,2051.664,2325.05
2100.12,657.43,2051.859,2324.83
2099.75,656.708,2051.448,2324.501
2099.681,656.242,2051.41,2325.417
2100.023,655.864,2051.861,2326.21
2099.948,658.792,2051.977,2323.306
2099.615,657.21,2051.559,2325.198
2099.502,656.285,2051.395,2324.564
2099.623,659.394,2051.656,2322.616
2099.89,657.442,2051.806,2324.481
2099.491,656.205,2051.136,2325.897
2099.395,657.648,2050.976,2323.151
2099.079,656.423,2050.887,2326.033
2099.716,655.948,2051.638,2325.839
2099.259,656.227,2051.27,2325.517
2099.171,656.711,2050.899,2324.281
2099.308,655.537,2050.852,2326.341
2099.143,659.41,2051.013,2323.693
2099.161,656.821,2051.076,2324.846
2099.163,658.206,2050.983,2324.006
2098.884,658.196,2050.776,2324.283
