x1,y1,x2,y2
2098.405,655.143,2050.118,2326.528
2098.405,655.143,2050.118,2326.528
2098.339,656.044,2050.152,2325.88
2098.429,658.124,2050.489,2324.084
2098.707,654.407,2050.146,2327.511
2098.827,658.002,2050.354,2324.38
2098.899,658.525,2050.584,2323.366
2098.599,654.465,2050.363,2327.025
2099.27,655.857,2050.77,2325.951
2098.792,658.403,2050.666,2323.245
2098.863,656.653,2050.462,2325.8
2098.874,656.237,2050.584,2326.159
2098.958,656.559,2050.937,2325.308
2098.944,655.137,2050.543,2326.626
2099.411,659.154,2051.229,2323.278
2099.012,657.637,2050.818,2325.243
2099.473,657.137,2051.196,2325.255
2099.358,656.442,2051.168,2325.676
2099.345,658.209,2051.222,2324.15
2099.643,654.656,2051.274,2328.148
2099.461,656.379,2051.384,2326.59
2099.296,658.268,2051.573,2323.825
2099.63,657.459,2051.751,2324.796
2099.765,656.76,2051.562,2326.391
2099.37,656.861,2050.978,2326.081
2099.916,657.179,2051.84,2325.458
2100.092,658.985,2052.083,2323.61
2099.697,658.141,2051.784,2324.937
2099.693,656.457,2051.574,2326.785
2099.459,657.895,2051.472,2325.038
2099.95,656.583,2051.697,2326.348
2100.143,657.299,2052.049,2325.098
2100.201,654.97,2051.917,2327.538
2099.979,656.081,2051.787,2326.513
2099.958,656.075,2051.894,2327.072
2100.684,657.223,2052.29,2325.448
2099.958,656.855,2052.063,2326.028
2100.581,657.649,2052.295,2324.919
2099.835,656.158,2051.89,2327.014
2100.835,656.804,2052.625,2325.461
2100.496,655.509,2052.111,2327.01
2101.113,654.89,2052.453,2326.873
2100.475,656.242,2052.408,2325.836
2100.777,658.122,2052.663,2324.13
2100.927,654.081,2052.483,2327.57
2101.048,658.308,2052.512,2323.49
2097.64,659.615,2049.544,2324.422
2098.181,659.701,2050.028,2324.443
2098.142,659.567,2050.066,2324.632
2098.118,659.498,2050.08,2324.721
2098.091,659.438,2050.108,2324.795
2098.143,659.339,2050.09,2324.924
2098.094,659.284,2050.029,2324.998
2098.085,659.212,2050.095,2325.076
2098.136,659.209,2050.036,2325.085
2100.648,656.081,2052.35,2327.494
2100.582,654.731,2052.366,2329.055
2100.771,661.563,2053.158,2322.002
2100.493,663.789,2053.022,2318.65
2101.016,659.06,2053.107,2324.939
2100.677,657.787,2052.373,2325.85
2100.417,656.267,2052.458,2327.556
2100.365,658.165,2052.268,2323.766
2100.33,661.603,2052.653,2321.046
2100.227,664.552,2052.94,2318.627
2100.716,660.266,2052.795,2323.736
2100.149,657.009,2052.126,2326.474
2100.106,659.435,2052.428,2324.009
2100.148,657.299,2052.185,2326.506
2100.066,662.539,2052.335,2320.55
2100.305,659.369,2052.477,2324.73
2100.131,657.546,2052.045,2326.152
2100.02,657.132,2052.047,2326.523
2099.928,659.094,2052.114,2324.608
2099.903,661.299,2052.145,2322.707
2099.951,658.669,2052.225,2324.074
2099.954,656.486,2051.812,2326.829
2099.624,657.495,2051.522,2326.348
2099.641,655.604,2051.879,2328.319
2099.898,658.985,2052.074,2324.144
2099.703,657.005,2051.684,2326.905
2099.697,655.844,2051.675,2327.005
2099.236,656.883,2050.957,2326.005
2099.286,658.684,2050.993,2323.018
2099.536,658.963,2051.784,2323.961
2099.024,658.115,2051.354,2324.888
2099.524,655.743,2050.939,2327.736
2099,659.781,2050.982,2322.353
2099.238,659.398,2051.11,2323.272
2099.344,659.218,2051.307,2323.761
2098.893,657.145,2050.624,2326.603
2098.794,656.288,2050.646,2326.726
2098.622,658.089,2050.996,2324.222
2098.769,657.368,2050.605,2325.615
2098.768,658.579,2050.723,2324.38
2098.53,658.303,2050.623,2324.646
2098.361,657.304,2050.461,2324.21
2098.589,656.69,2050.509,2325.266
2098.599,658.466,2050.651,2323.491
2098.842,659.931,2050.732,2322.844
2097.926,658.548,2049.986,2325.619
2098.09,658.288,2049.732,2325.877
